experimentId,targetService,failureType,actualRecoveryDuration,errorRate,averageResponseTime,peakResponseTime,injectedLatencyMilliseconds,affectedServiceCount,cascadingFailure,anomalyLabel,anomalyScore
EXP-144,order-service,stop,22.8,85.0,395.54,5015,0,1,0,ANOMALY,-0.015041
EXP-145,order-service,stop,33.06,80.0,9.1,39,0,1,0,NORMAL,0.105049
EXP-146,order-service,stop,32.87,84.0,8.2,90,0,1,0,NORMAL,0.097935
EXP-147,order-service,stop,32.83,88.0,407.58,5005,0,1,0,NORMAL,0.017684
EXP-148,order-service,stop,32.88,89.0,5.09,105,0,1,0,ANOMALY,-0.027064
EXP-149,order-service,stop,62.91,80.0,6.1,20,0,1,0,NORMAL,0.032878
EXP-150,order-service,stop,62.83,88.0,11.44,132,0,1,0,NORMAL,0.005127
EXP-151,payment-service,latency,30.25,81.82,1668.64,2005,2000,2,1,ANOMALY,-0.033754
EXP-152,payment-service,latency,5.04,0.0,218.3,520,500,1,0,ANOMALY,-0.031615
EXP-153,order-service,latency,5.56,0.0,413.8,1013,1000,1,0,ANOMALY,-0.033571
EXP-154,notification-service,latency,6.51,0.0,814.0,2017,2000,1,0,ANOMALY,-0.064351
EXP-155,payment-service,latency,6.52,40.0,1210.0,3011,5000,2,1,ANOMALY,-0.070191
EXP-156,order-service,latency,6.52,0.0,816.2,2018,2000,1,0,ANOMALY,-0.029443
