configuredFailureDuration,actualRecoveryDuration,totalRequests,successfulRequests,failedRequests,errorRate,averageResponseTime,peakResponseTime,injectedLatencyMilliseconds,targetService_notification-service,targetService_order-service,targetService_payment-service,failureType_latency,failureType_restart,failureType_stop,cascadingFailure
60,61.18,50,4,46,92.0,2674.7,3010,0,0.0,0.0,1.0,0.0,0.0,1.0,1
60,61.31,100,7,93,93.0,2695.4,3010,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,5.95,10,9,1,10.0,19.2,91,0,0.0,0.0,1.0,0.0,1.0,0.0,1
5,5.96,25,22,3,12.0,112.52,2506,0,0.0,0.0,1.0,0.0,1.0,0.0,1
5,5.96,50,44,6,12.0,60.64,2508,0,0.0,0.0,1.0,0.0,1.0,0.0,1
5,6.02,100,92,8,8.0,380.79,2511,0,0.0,0.0,1.0,0.0,1.0,0.0,1
10,11.1,10,10,0,0.0,22.4,87,0,0.0,0.0,1.0,0.0,1.0,0.0,0
10,11.02,25,23,2,8.0,16.04,123,0,0.0,0.0,1.0,0.0,1.0,0.0,1
10,11.08,50,46,4,8.0,62.64,2512,0,0.0,0.0,1.0,0.0,1.0,0.0,1
10,10.98,100,96,4,4.0,249.11,2586,0,0.0,0.0,1.0,0.0,1.0,0.0,1
20,20.98,10,10,0,0.0,18.4,73,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,20.95,25,24,1,4.0,19.76,78,0,0.0,0.0,1.0,0.0,1.0,0.0,1
20,21.4,50,47,3,6.0,21.32,117,0,0.0,0.0,1.0,0.0,1.0,0.0,1
20,21.07,100,95,5,5.0,38.97,2516,0,0.0,0.0,1.0,0.0,1.0,0.0,1
30,31.08,10,10,0,0.0,26.0,99,0,0.0,0.0,1.0,0.0,1.0,0.0,0
30,31.14,25,24,1,4.0,16.68,85,0,0.0,0.0,1.0,0.0,1.0,0.0,1
30,31.07,50,49,1,2.0,35.4,1116,0,0.0,0.0,1.0,0.0,1.0,0.0,1
30,31.12,100,96,4,4.0,14.03,121,0,0.0,0.0,1.0,0.0,1.0,0.0,1
60,61.07,10,10,0,0.0,25.0,85,0,0.0,0.0,1.0,0.0,1.0,0.0,0
60,61.06,25,25,0,0.0,15.68,78,0,0.0,0.0,1.0,0.0,1.0,0.0,0
60,61.11,50,49,1,2.0,14.56,88,0,0.0,0.0,1.0,0.0,1.0,0.0,1
60,61.13,100,98,2,2.0,13.8,96,0,0.0,0.0,1.0,0.0,1.0,0.0,1
5,6.47,10,4,6,60.0,1424.4,5031,0,0.0,1.0,0.0,0.0,0.0,1.0,0
5,6.03,25,10,15,60.0,14.16,101,0,0.0,1.0,0.0,0.0,0.0,1.0,0
5,6.05,50,18,32,64.0,10.38,121,0,0.0,1.0,0.0,0.0,0.0,1.0,0
5,7.95,100,32,68,68.0,1133.52,5004,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,11.03,10,4,6,60.0,15.6,97,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,12.39,25,7,18,72.0,10.4,93,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,11.12,50,13,37,74.0,9.38,111,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,12.45,100,21,79,79.0,679.29,5014,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.84,10,3,7,70.0,24.2,189,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.87,25,5,20,80.0,9.04,109,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.88,50,8,42,84.0,7.54,127,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.8,100,15,85,85.0,395.54,5015,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,33.06,10,2,8,80.0,9.1,39,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,32.87,25,4,21,84.0,8.2,90,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,32.83,50,6,44,88.0,407.58,5005,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,32.88,100,11,89,89.0,5.09,105,0,0.0,1.0,0.0,0.0,0.0,1.0,0
60,62.91,10,2,8,80.0,6.1,20,0,0.0,1.0,0.0,0.0,0.0,1.0,0
60,62.83,25,3,22,88.0,11.44,132,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,30.25,11,2,9,81.82,1668.64,2005,2000,0.0,0.0,1.0,1.0,0.0,0.0,1
5,5.04,10,10,0,0.0,218.3,520,500,0.0,0.0,1.0,1.0,0.0,0.0,0
5,5.56,10,10,0,0.0,413.8,1013,1000,0.0,1.0,0.0,1.0,0.0,0.0,0
5,6.51,10,10,0,0.0,814.0,2017,2000,1.0,0.0,0.0,1.0,0.0,0.0,0
5,6.52,10,6,4,40.0,1210.0,3011,5000,0.0,0.0,1.0,1.0,0.0,0.0,1
5,6.52,10,10,0,0.0,816.2,2018,2000,0.0,1.0,0.0,1.0,0.0,0.0,0
